id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
d1046335,47,Goran Antonić,SRB,DF,TSC Bačka Top,32,1990,5,419,84,77.6,4.7,5,84,3,0,,1,0.2,3,12,-9,-1.93,1.04,2.8,8.2,-5.4,-1.16,0.12,Matches,UEL,23-24
ac05f970,48,Michail Antonio,JAM,FW,West Ham,33,1990,6,322,54,35.8,3.6,3,86,2,3,21,1,1.17,9,3,6,1.68,1.37,5.4,4.4,0.9,0.26,-0.12,Matches,UEL,23-24
c0eeaa39,49,Alexis Antunes,SUI,"MF,FW",Servette FC,23,2000,5,290,58,53.7,3.2,4,67,0,1,23,0,0.4,1,10,-9,-2.79,-2.79,2.4,6.1,-3.8,-1.16,-1.36,Matches,UEL,23-24
a5db0bec,50,Houssem Aouar,ALG,MF,Roma,25,1998,9,398,44,30.9,4.4,6,56,0,3,20,5,1.89,7,2,5,1.13,0.53,5.3,3.1,2.2,0.54,0.42,Matches,UEL,23-24
baeac12a,51,Ayman Aourir,GER,MF,Leverkusen,18,2004,1,3,3,0.3,0.0,0,,0,1,3,2,3.0,0,0,0,0.0,-1.39,0.0,0.5,-0.5,-15.17,-16.17,Matches,UEL,23-24
9d152938,52,Kostas Apostolakis,GRE,DF,Sheriff Tiraspol,24,1999,6,197,33,36.5,2.2,2,63,1,4,18,0,0.89,3,9,-6,-2.74,-1.17,1.5,7.6,-6.2,-2.81,-1.92,Matches,UEL,23-24
c63f6e46,53,Youssef El-Arabi,MAR,FW,Olympiacos,36,1987,2,34,17,6.3,0.4,0,,0,2,17,4,2.17,1,0,1,2.65,3.36,1.0,0.0,1.0,2.72,2.96,Matches,UEL,23-24
f47a530a,54,Willian Arão,BRA,"MF,DF",Panathinaikos,30,1992,6,386,64,71.5,4.3,4,90,4,2,13,0,0.67,5,7,-2,-0.47,0.12,7.6,6.8,0.8,0.19,0.34,Matches,UEL,23-24
080ac8d8,55,Sergio Araujo,ARG,"MF,FW",AEK Athens,31,1992,4,204,51,37.8,2.3,2,79,1,2,24,0,1.0,3,4,-1,-0.44,0.9,3.8,4.9,-1.1,-0.49,0.59,Matches,UEL,23-24
0fa11d7d,56,Tomás Araújo,POR,DF,Benfica,21,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,UEL,23-24
