Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,6,Tue,2021-12-07,22:00,Shakhtar,2.0,1–1,1.0,Sheriff Tiraspol,6841,Oblasny SportKomplex Metalist,Donatas Rumšas,/en/matches/87580b7e/Shakhtar-Donetsk-Sheriff-Tiraspol-December-7-2021-Champions-League,,UCL,21-22
Group stage,6,Wed,2021-12-08,18:45,Juventus,2.1,1–0,0.2,Malmö,17501,Allianz Stadium,Irfan Peljto,/en/matches/084531d6/Juventus-Malmo-December-8-2021-Champions-League,,UCL,21-22
Group stage,6,Wed,2021-12-08,20:00,Benfica,1.1,2–0,1.0,Dynamo Kyiv,36591,Estádio do Sport Lisboa e Benfica,Deniz Aytekin,/en/matches/35cc682d/Benfica-Dynamo-Kyiv-December-8-2021-Champions-League,,UCL,21-22
Group stage,6,Wed,2021-12-08,20:00,Manchester Utd,1.2,1–1,1.3,Young Boys,73156,Old Trafford,Benoît Bastien,/en/matches/e7f6d2d5/Manchester-United-Young-Boys-December-8-2021-Champions-League,,UCL,21-22
Group stage,6,Wed,2021-12-08,20:45,Zenit,2.6,3–3,2.7,Chelsea,29349,Gazprom Arena,Serdar Gözübüyük,/en/matches/e1d49736/Zenit-Chelsea-December-8-2021-Champions-League,,UCL,21-22
Group stage,6,Wed,2021-12-08,21:00,Bayern Munich,2.4,3–0,0.4,Barcelona,,Allianz Arena,Ovidiu Hațegan,/en/matches/0e70c674/Bayern-Munich-Barcelona-December-8-2021-Champions-League,,UCL,21-22
Group stage,6,Wed,2021-12-08,21:00,Wolfsburg,0.7,1–3,2.5,Lille,6544,Volkswagen Arena,Daniele Orsato,/en/matches/a2468149/Wolfsburg-Lille-December-8-2021-Champions-League,,UCL,21-22
Group stage,6,Wed,2021-12-08,21:00,RB Salzburg,0.6,1–0,0.9,Sevilla,,Red Bull Arena,Slavko Vinčič,/en/matches/e32221c9/Red-Bull-Salzburg-Sevilla-December-8-2021-Champions-League,,UCL,21-22
Group stage,6,Thu,2021-12-09,19:00,Atalanta,2.0,2–3,2.2,Villarreal,11690,Stadio Atleti Azzurri d'Italia,Anthony Taylor,/en/matches/6616d6ae/Atalanta-Villarreal-December-9-2021-Champions-League,,UCL,21-22
Round of 16,,Tue,2022-02-15,20:00,Sporting CP,0.1,0–5,2.1,Manchester City,48129,Estádio José Alvalade,Srdjan Stojanovic,/en/matches/e6066ef0/Sporting-CP-Manchester-City-February-15-2022-Champions-League,Leg 1 of 2,UCL,21-22
Round of 16,,Tue,2022-02-15,21:00,Paris S-G,2.0,1–0,0.2,Real Madrid,47443,Parc des Princes,Daniele Orsato,/en/matches/59e6b28f/Paris-Saint-Germain-Real-Madrid-February-15-2022-Champions-League,Leg 1 of 2,UCL,21-22
Round of 16,,Wed,2022-02-16,21:00,RB Salzburg,1.1,1–1,2.3,Bayern Munich,29520,Red Bull Arena,Michael Oliver,/en/matches/0d1bee90/Red-Bull-Salzburg-Bayern-Munich-February-16-2022-Champions-League,Leg 1 of 2,UCL,21-22
Round of 16,,Wed,2022-02-16,21:00,Inter,0.6,0–2,1.0,Liverpool,37918,Stadio Giuseppe Meazza,Szymon Marciniak,/en/matches/8b1f6c45/Internazionale-Liverpool-February-16-2022-Champions-League,Leg 1 of 2,UCL,21-22
Round of 16,,Tue,2022-02-22,20:00,Chelsea,1.2,2–0,0.8,Lille,38832,Stamford Bridge,Jesús Gil,/en/matches/c69e8579/Chelsea-Lille-February-22-2022-Champions-League,Leg 1 of 2,UCL,21-22
Round of 16,,Tue,2022-02-22,21:00,Villarreal,1.3,1–1,0.7,Juventus,17686,Estadio de la Cerámica,Daniel Siebert,/en/matches/ae29a4e9/Villarreal-Juventus-February-22-2022-Champions-League,Leg 1 of 2,UCL,21-22
Round of 16,,Wed,2022-02-23,20:00,Benfica,2.0,2–2,2.4,Ajax,54760,Estádio do Sport Lisboa e Benfica,Slavko Vinčič,/en/matches/dffd2be7/Benfica-Ajax-February-23-2022-Champions-League,Leg 1 of 2,UCL,21-22
Round of 16,,Wed,2022-02-23,21:00,Atlético Madrid,1.3,1–1,0.6,Manchester Utd,63273,Estadio Wanda Metropolitano,Ovidiu Hațegan,/en/matches/f898d45f/Atletico-Madrid-Manchester-United-February-23-2022-Champions-League,Leg 1 of 2,UCL,21-22
