Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
4,Sat,2023-09-16,15:30,Wolfsburg,0.4,2–1,1.1,Union Berlin,21917,Volkswagen Arena,Felix Brych,/en/matches/140f5fb4/Wolfsburg-Union-Berlin-September-16-2023-Bundesliga,,GER-BL1,23-24
4,Sat,2023-09-16,15:30,Mainz 05,0.9,1–3,1.6,Stuttgart,30500,Mewa Arena,Harm Osmers,/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga,,GER-BL1,23-24
4,Sat,2023-09-16,15:30,Freiburg,1.0,2–4,2.3,Dortmund,34700,Europa-Park Stadion,Tobias Stieler,/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga,,GER-BL1,23-24
4,Sat,2023-09-16,15:30,Köln,1.0,1–3,1.0,Hoffenheim,49300,RheinEnergieSTADION,Daniel Siebert,/en/matches/d121d2fe/Koln-Hoffenheim-September-16-2023-Bundesliga,,GER-BL1,23-24
4,Sat,2023-09-16,15:30,RB Leipzig,1.1,3–0,1.7,Augsburg,44746,Red Bull Arena,Sascha Stegemann,/en/matches/f3b2aa39/RB-Leipzig-Augsburg-September-16-2023-Bundesliga,,GER-BL1,23-24
4,Sat,2023-09-16,18:30,Bochum,2.0,1–1,0.6,Eint Frankfurt,26000,Vonovia Ruhrstadion,Benjamin Brand,/en/matches/fffdfc41/Bochum-Eintracht-Frankfurt-September-16-2023-Bundesliga,,GER-BL1,23-24
4,Sun,2023-09-17,15:30,Heidenheim,2.2,4–2,3.0,Werder Bremen,15000,Voith-Arena,Patrick Ittrich,/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga,,GER-BL1,23-24
4,Sun,2023-09-17,17:30,Darmstadt 98,1.2,3–3,3.9,Gladbach,17810,Merck-Stadion am Böllenfalltor,Timo Gerach,/en/matches/d58f8b35/Darmstadt-98-Monchengladbach-September-17-2023-Bundesliga,,GER-BL1,23-24
5,Fri,2023-09-22,20:30,Stuttgart,2.3,3–1,0.2,Darmstadt 98,54000,MHPArena,Matthias Jöllenbeck,/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga,,GER-BL1,23-24
5,Sat,2023-09-23,15:30,Bayern Munich,4.8,7–0,0.1,Bochum,75000,Allianz Arena,Robert Hartmann,/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga,,GER-BL1,23-24
5,Sat,2023-09-23,15:30,Union Berlin,1.6,0–2,2.0,Hoffenheim,20000,Stadion An der Alten Försterei,Deniz Aytekin,/en/matches/3c776110/Union-Berlin-Hoffenheim-September-23-2023-Bundesliga,,GER-BL1,23-24
5,Sat,2023-09-23,15:30,Augsburg,0.8,2–1,0.6,Mainz 05,27310,WWK Arena,Marco Fritz,/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga,,GER-BL1,23-24
5,Sat,2023-09-23,15:30,Dortmund,1.7,1–0,0.5,Wolfsburg,81365,Signal Iduna Park,Sven Jablonski,/en/matches/ba296db6/Dortmund-Wolfsburg-September-23-2023-Bundesliga,,GER-BL1,23-24
5,Sat,2023-09-23,15:30,Gladbach,0.8,0–1,0.7,RB Leipzig,50122,Stadion im Borussia-Park,Robert Schröder,/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga,,GER-BL1,23-24
5,Sat,2023-09-23,18:30,Werder Bremen,2.1,2–1,1.3,Köln,42100,Wohninvest Weserstadion,Bastian Dankert,/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga,,GER-BL1,23-24
5,Sun,2023-09-24,15:30,Leverkusen,3.4,4–1,0.5,Heidenheim,29557,BayArena,Christian Dingert,/en/matches/68a63295/Bayer-Leverkusen-Heidenheim-September-24-2023-Bundesliga,,GER-BL1,23-24
5,Sun,2023-09-24,17:30,Eint Frankfurt,0.6,0–0,0.5,Freiburg,55800,Deutsche Bank Park,Felix Zwayer,/en/matches/04b49830/Eintracht-Frankfurt-Freiburg-September-24-2023-Bundesliga,,GER-BL1,23-24
6,Fri,2023-09-29,20:30,Hoffenheim,1.9,1–3,1.6,Dortmund,30150,PreZero Arena,Florian Badstübner,/en/matches/651b8bdf/Hoffenheim-Dortmund-September-29-2023-Bundesliga,,GER-BL1,23-24
6,Sat,2023-09-30,15:30,Köln,0.7,0–2,2.5,Stuttgart,50000,RheinEnergieSTADION,Tobias Stieler,/en/matches/0c06c0c9/Koln-Stuttgart-September-30-2023-Bundesliga,,GER-BL1,23-24
6,Sat,2023-09-30,15:30,Heidenheim,0.8,1–0,2.2,Union Berlin,15000,Voith-Arena,Sascha Stegemann,/en/matches/23d84166/Heidenheim-Union-Berlin-September-30-2023-Bundesliga,,GER-BL1,23-24
6,Sat,2023-09-30,15:30,Wolfsburg,3.2,2–0,1.3,Eint Frankfurt,28323,Volkswagen Arena,Frank Willenborg,/en/matches/330b9850/Wolfsburg-Eintracht-Frankfurt-September-30-2023-Bundesliga,,GER-BL1,23-24
6,Sat,2023-09-30,15:30,Bochum,1.7,1–3,2.9,Gladbach,26000,Vonovia Ruhrstadion,Felix Brych,/en/matches/b07cca46/Bochum-Monchengladbach-September-30-2023-Bundesliga,,GER-BL1,23-24
6,Sat,2023-09-30,15:30,Mainz 05,0.5,0–3,1.1,Leverkusen,33305,Mewa Arena,Benjamin Brand,/en/matches/d16559ab/Mainz-05-Bayer-Leverkusen-September-30-2023-Bundesliga,,GER-BL1,23-24
6,Sat,2023-09-30,18:30,RB Leipzig,0.7,2–2,2.3,Bayern Munich,47069,Red Bull Arena,Marco Fritz,/en/matches/e30a07e3/RB-Leipzig-Bayern-Munich-September-30-2023-Bundesliga,,GER-BL1,23-24
6,Sun,2023-10-01,15:30,Darmstadt 98,2.4,4–2,1.5,Werder Bremen,17810,Merck-Stadion am Böllenfalltor,Martin Petersen,/en/matches/5ebc00f1/Darmstadt-98-Werder-Bremen-October-1-2023-Bundesliga,,GER-BL1,23-24
6,Sun,2023-10-01,17:30,Freiburg,1.0,2–0,0.8,Augsburg,33134,Europa-Park Stadion,Harm Osmers,/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga,,GER-BL1,23-24
7,Fri,2023-10-06,20:30,Gladbach,2.3,2–2,0.8,Mainz 05,51529,Stadion im Borussia-Park,Sven Jablonski,/en/matches/a2a3e181/Monchengladbach-Mainz-05-October-6-2023-Bundesliga,,GER-BL1,23-24
7,Sat,2023-10-07,15:30,RB Leipzig,2.5,0–0,0.4,Bochum,44269,Red Bull Arena,Timo Gerach,/en/matches/15bd2f93/RB-Leipzig-Bochum-October-7-2023-Bundesliga,,GER-BL1,23-24
7,Sat,2023-10-07,15:30,Dortmund,1.6,4–2,1.4,Union Berlin,81365,Signal Iduna Park,Patrick Ittrich,/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga,,GER-BL1,23-24
7,Sat,2023-10-07,15:30,Augsburg,0.9,1–2,1.8,Darmstadt 98,29200,WWK Arena,Deniz Aytekin,/en/matches/7d0fed76/Augsburg-Darmstadt-98-October-7-2023-Bundesliga,,GER-BL1,23-24
7,Sat,2023-10-07,15:30,Stuttgart,2.7,3–1,1.2,Wolfsburg,52000,MHPArena,Daniel Siebert,/en/matches/7eb884e7/Stuttgart-Wolfsburg-October-7-2023-Bundesliga,,GER-BL1,23-24
7,Sat,2023-10-07,18:30,Werder Bremen,0.8,2–3,1.9,Hoffenheim,41000,Wohninvest Weserstadion,Christian Dingert,/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga,,GER-BL1,23-24
7,Sun,2023-10-08,15:30,Leverkusen,3.2,3–0,1.3,Köln,30210,BayArena,Felix Zwayer,/en/matches/f1268661/Bayer-Leverkusen-Koln-October-8-2023-Bundesliga,,GER-BL1,23-24
7,Sun,2023-10-08,17:30,Bayern Munich,2.4,3–0,0.1,Freiburg,75000,Allianz Arena,Robert Schröder,/en/matches/8a7f496b/Bayern-Munich-Freiburg-October-8-2023-Bundesliga,,GER-BL1,23-24
7,Sun,2023-10-08,19:30,Eint Frankfurt,1.9,2–0,1.2,Heidenheim,55800,Deutsche Bank Park,Daniel Schlager,/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga,,GER-BL1,23-24
8,Fri,2023-10-20,20:30,Dortmund,2.6,1–0,0.4,Werder Bremen,81365,Signal Iduna Park,Felix Brych,/en/matches/be058dce/Dortmund-Werder-Bremen-October-20-2023-Bundesliga,,GER-BL1,23-24
8,Sat,2023-10-21,15:30,Freiburg,2.3,2–1,1.5,Bochum,33900,Europa-Park Stadion,Tobias Reichel,/en/matches/0014bad7/Freiburg-Bochum-October-21-2023-Bundesliga,,GER-BL1,23-24
8,Sat,2023-10-21,15:30,Darmstadt 98,2.4,1–3,1.9,RB Leipzig,17810,Merck-Stadion am Böllenfalltor,Harm Osmers,/en/matches/48110abe/Darmstadt-98-RB-Leipzig-October-21-2023-Bundesliga,,GER-BL1,23-24
8,Sat,2023-10-21,15:30,Wolfsburg,1.4,1–2,1.9,Leverkusen,28917,Volkswagen Arena,Marco Fritz,/en/matches/9a4291a3/Wolfsburg-Bayer-Leverkusen-October-21-2023-Bundesliga,,GER-BL1,23-24
8,Sat,2023-10-21,15:30,Union Berlin,0.6,0–3,1.4,Stuttgart,22012,Stadion An der Alten Försterei,Bastian Dankert,/en/matches/9ab68fca/Union-Berlin-Stuttgart-October-21-2023-Bundesliga,,GER-BL1,23-24
8,Sat,2023-10-21,15:30,Hoffenheim,1.4,1–3,2.4,Eint Frankfurt,30150,PreZero Arena,Matthias Jöllenbeck,/en/matches/e689158b/Hoffenheim-Eintracht-Frankfurt-October-21-2023-Bundesliga,,GER-BL1,23-24
8,Sat,2023-10-21,18:30,Mainz 05,1.1,1–3,1.8,Bayern Munich,33305,Mewa Arena,Sascha Stegemann,/en/matches/a7af08ab/Mainz-05-Bayern-Munich-October-21-2023-Bundesliga,,GER-BL1,23-24
8,Sun,2023-10-22,15:30,Köln,2.7,3–1,0.3,Gladbach,50000,RheinEnergieSTADION,Deniz Aytekin,/en/matches/5224d2f5/Koln-Monchengladbach-October-22-2023-Bundesliga,,GER-BL1,23-24
8,Sun,2023-10-22,17:30,Heidenheim,1.5,2–5,2.5,Augsburg,15000,Voith-Arena,Tobias Stieler,/en/matches/41fd7764/Heidenheim-Augsburg-October-22-2023-Bundesliga,,GER-BL1,23-24
9,Fri,2023-10-27,20:30,Bochum,1.4,2–2,0.4,Mainz 05,26000,Vonovia Ruhrstadion,Patrick Ittrich,/en/matches/cfe3b5c3/Bochum-Mainz-05-October-27-2023-Bundesliga,,GER-BL1,23-24
9,Sat,2023-10-28,15:30,Gladbach,1.0,2–1,0.4,Heidenheim,51541,Stadion im Borussia-Park,Robert Hartmann,/en/matches/029be8be/Monchengladbach-Heidenheim-October-28-2023-Bundesliga,,GER-BL1,23-24
9,Sat,2023-10-28,15:30,Werder Bremen,0.8,2–0,0.6,Union Berlin,42100,Wohninvest Weserstadion,Tobias Stieler,/en/matches/aed937f1/Werder-Bremen-Union-Berlin-October-28-2023-Bundesliga,,GER-BL1,23-24
9,Sat,2023-10-28,15:30,Augsburg,1.4,3–2,1.4,Wolfsburg,28000,WWK Arena,Daniel Schlager,/en/matches/b08c06e8/Augsburg-Wolfsburg-October-28-2023-Bundesliga,,GER-BL1,23-24
9,Sat,2023-10-28,15:30,Stuttgart,3.6,2–3,1.7,Hoffenheim,53200,MHPArena,Felix Zwayer,/en/matches/bbecea98/Stuttgart-Hoffenheim-October-28-2023-Bundesliga,,GER-BL1,23-24
9,Sat,2023-10-28,15:30,Bayern Munich,5.8,8–0,0.7,Darmstadt 98,75000,Allianz Arena,Martin Petersen,/en/matches/bc7df752/Bayern-Munich-Darmstadt-98-October-28-2023-Bundesliga,,GER-BL1,23-24
9,Sat,2023-10-28,18:30,RB Leipzig,4.2,6–0,0.9,Köln,46480,Red Bull Arena,Benjamin Brand,/en/matches/c9cde5e8/RB-Leipzig-Koln-October-28-2023-Bundesliga,,GER-BL1,23-24
9,Sun,2023-10-29,15:30,Eint Frankfurt,2.2,3–3,2.2,Dortmund,56500,Deutsche Bank Park,Robert Schröder,/en/matches/d332b8cc/Eintracht-Frankfurt-Dortmund-October-29-2023-Bundesliga,,GER-BL1,23-24
9,Sun,2023-10-29,17:30,Leverkusen,1.4,2–1,0.9,Freiburg,30210,BayArena,Daniel Siebert,/en/matches/9cc63f4d/Bayer-Leverkusen-Freiburg-October-29-2023-Bundesliga,,GER-BL1,23-24
10,Fri,2023-11-03,20:30,Darmstadt 98,0.7,1–2,1.2,Bochum,17810,Merck-Stadion am Böllenfalltor,Marco Fritz,/en/matches/44974e1b/Darmstadt-98-Bochum-November-3-2023-Bundesliga,,GER-BL1,23-24
10,Sat,2023-11-04,15:30,Mainz 05,0.9,2–0,0.5,RB Leipzig,30100,Mewa Arena,Bastian Dankert,/en/matches/1161dad0/Mainz-05-RB-Leipzig-November-4-2023-Bundesliga,,GER-BL1,23-24
10,Sat,2023-11-04,15:30,Freiburg,3.3,3–3,2.2,Gladbach,34700,Europa-Park Stadion,Felix Brych,/en/matches/663aa0ea/Freiburg-Monchengladbach-November-4-2023-Bundesliga,,GER-BL1,23-24
10,Sat,2023-11-04,15:30,Köln,2.0,1–1,2.6,Augsburg,49300,RheinEnergieSTADION,Christian Dingert,/en/matches/ab499def/Koln-Augsburg-November-4-2023-Bundesliga,,GER-BL1,23-24
10,Sat,2023-11-04,15:30,Hoffenheim,1.7,2–3,1.0,Leverkusen,30150,PreZero Arena,Frank Willenborg,/en/matches/c0894ab7/Hoffenheim-Bayer-Leverkusen-November-4-2023-Bundesliga,,GER-BL1,23-24
10,Sat,2023-11-04,15:30,Union Berlin,0.7,0–3,1.6,Eint Frankfurt,22012,Stadion An der Alten Försterei,Sven Jablonski,/en/matches/d81fbe7f/Union-Berlin-Eintracht-Frankfurt-November-4-2023-Bundesliga,,GER-BL1,23-24
10,Sat,2023-11-04,18:30,Dortmund,1.0,0–4,3.2,Bayern Munich,81365,Signal Iduna Park,Deniz Aytekin,/en/matches/0e6a1a60/Der-Klassiker-Dortmund-Bayern-Munich-November-4-2023-Bundesliga,,GER-BL1,23-24
10,Sun,2023-11-05,15:30,Wolfsburg,1.6,2–2,1.2,Werder Bremen,28917,Volkswagen Arena,Tobias Reichel,/en/matches/98d8fe64/Wolfsburg-Werder-Bremen-November-5-2023-Bundesliga,,GER-BL1,23-24
10,Sun,2023-11-05,17:30,Heidenheim,1.2,2–0,2.6,Stuttgart,15000,Voith-Arena,Florian Badstübner,/en/matches/305a9b51/Heidenheim-Stuttgart-November-5-2023-Bundesliga,,GER-BL1,23-24
11,Fri,2023-11-10,20:30,Gladbach,1.5,4–0,0.5,Wolfsburg,45308,Stadion im Borussia-Park,Felix Zwayer,/en/matches/3037667d/Monchengladbach-Wolfsburg-November-10-2023-Bundesliga,,GER-BL1,23-24
11,Sat,2023-11-11,15:30,Augsburg,1.0,1–1,0.8,Hoffenheim,28260,WWK Arena,Felix Brych,/en/matches/3970535a/Augsburg-Hoffenheim-November-11-2023-Bundesliga,,GER-BL1,23-24
11,Sat,2023-11-11,15:30,Stuttgart,4.2,2–1,1.0,Dortmund,55000,MHPArena,Tobias Stieler,/en/matches/5e8f7e88/Stuttgart-Dortmund-November-11-2023-Bundesliga,,GER-BL1,23-24
11,Sat,2023-11-11,15:30,Bayern Munich,2.0,4–2,0.9,Heidenheim,75000,Allianz Arena,Harm Osmers,/en/matches/684040d1/Bayern-Munich-Heidenheim-November-11-2023-Bundesliga,,GER-BL1,23-24
11,Sat,2023-11-11,15:30,Darmstadt 98,0.5,0–0,0.7,Mainz 05,17810,Merck-Stadion am Böllenfalltor,Daniel Siebert,/en/matches/f98e467c/Darmstadt-98-Mainz-05-November-11-2023-Bundesliga,,GER-BL1,23-24
11,Sat,2023-11-11,18:30,Bochum,3.7,1–1,0.9,Köln,26000,Vonovia Ruhrstadion,Matthias Jöllenbeck,/en/matches/b7bef81f/Bochum-Koln-November-11-2023-Bundesliga,,GER-BL1,23-24
11,Sun,2023-11-12,15:30,Leverkusen,2.4,4–0,0.0,Union Berlin,29387,BayArena,Timo Gerach,/en/matches/bece4395/Bayer-Leverkusen-Union-Berlin-November-12-2023-Bundesliga,,GER-BL1,23-24
11,Sun,2023-11-12,17:30,Werder Bremen,1.5,2–2,2.0,Eint Frankfurt,42100,Wohninvest Weserstadion,Benjamin Brand,/en/matches/5c3bedb6/Werder-Bremen-Eintracht-Frankfurt-November-12-2023-Bundesliga,,GER-BL1,23-24
11,Sun,2023-11-12,19:30,RB Leipzig,1.9,3–1,0.5,Freiburg,41117,Red Bull Arena,Patrick Ittrich,/en/matches/fcbc3a03/RB-Leipzig-Freiburg-November-12-2023-Bundesliga,,GER-BL1,23-24
12,Fri,2023-11-24,20:30,Köln,0.2,0–1,3.5,Bayern Munich,50000,RheinEnergieSTADION,Marco Fritz,/en/matches/5ffb46dc/Koln-Bayern-Munich-November-24-2023-Bundesliga,,GER-BL1,23-24
12,Sat,2023-11-25,15:30,Freiburg,1.6,1–1,0.4,Darmstadt 98,34300,Europa-Park Stadion,Sascha Stegemann,/en/matches/057a9eb7/Freiburg-Darmstadt-98-November-25-2023-Bundesliga,,GER-BL1,23-24
12,Sat,2023-11-25,15:30,Werder Bremen,0.2,0–3,1.0,Leverkusen,42100,Wohninvest Weserstadion,Martin Petersen,/en/matches/30b8a712/Werder-Bremen-Bayer-Leverkusen-November-25-2023-Bundesliga,,GER-BL1,23-24
12,Sat,2023-11-25,15:30,Wolfsburg,0.9,2–1,2.7,RB Leipzig,25350,Volkswagen Arena,Robert Hartmann,/en/matches/a98967a4/Wolfsburg-RB-Leipzig-November-25-2023-Bundesliga,,GER-BL1,23-24
12,Sat,2023-11-25,15:30,Union Berlin,2.1,1–1,1.7,Augsburg,22012,Stadion An der Alten Försterei,Florian Badstübner,/en/matches/e30bd7d2/Union-Berlin-Augsburg-November-25-2023-Bundesliga,,GER-BL1,23-24
12,Sat,2023-11-25,15:30,Dortmund,3.2,4–2,1.0,Gladbach,81365,Signal Iduna Park,Sven Jablonski,/en/matches/f681bb3c/Dortmund-Monchengladbach-November-25-2023-Bundesliga,,GER-BL1,23-24
12,Sat,2023-11-25,18:30,Eint Frankfurt,0.9,1–2,2.3,Stuttgart,58000,Deutsche Bank Park,Felix Brych,/en/matches/681f0b6f/Eintracht-Frankfurt-Stuttgart-November-25-2023-Bundesliga,,GER-BL1,23-24
12,Sun,2023-11-26,15:30,Heidenheim,0.8,0–0,0.4,Bochum,15000,Voith-Arena,Felix Zwayer,/en/matches/d913616c/Heidenheim-Bochum-November-26-2023-Bundesliga,,GER-BL1,23-24
12,Sun,2023-11-26,17:30,Hoffenheim,1.2,1–1,1.8,Mainz 05,22000,PreZero Arena,Deniz Aytekin,/en/matches/bc0e7fa8/Hoffenheim-Mainz-05-November-26-2023-Bundesliga,,GER-BL1,23-24
13,Fri,2023-12-01,20:30,Darmstadt 98,0.7,0–1,1.5,Köln,17810,Merck-Stadion am Böllenfalltor,Patrick Ittrich,/en/matches/88486a76/Darmstadt-98-Koln-December-1-2023-Bundesliga,,GER-BL1,23-24
13,Sat,2023-12-02,15:30,RB Leipzig,4.0,2–1,1.0,Heidenheim,44887,Red Bull Arena,Christian Dingert,/en/matches/1277604b/RB-Leipzig-Heidenheim-December-2-2023-Bundesliga,,GER-BL1,23-24
13,Sat,2023-12-02,15:30,Bochum,1.5,3–1,1.3,Wolfsburg,24350,Vonovia Ruhrstadion,Robert Schröder,/en/matches/a700767e/Bochum-Wolfsburg-December-2-2023-Bundesliga,,GER-BL1,23-24
13,Sat,2023-12-02,15:30,Gladbach,1.6,2–1,1.4,Hoffenheim,49341,Stadion im Borussia-Park,Tobias Reichel,/en/matches/fa6e2a54/Monchengladbach-Hoffenheim-December-2-2023-Bundesliga,,GER-BL1,23-24
13,Sat,2023-12-02,18:30,Stuttgart,3.5,2–0,0.8,Werder Bremen,54500,MHPArena,Bastian Dankert,/en/matches/5ea2a1ee/Stuttgart-Werder-Bremen-December-2-2023-Bundesliga,,GER-BL1,23-24
13,Sun,2023-12-03,15:30,Mainz 05,2.3,0–1,0.9,Freiburg,30300,Mewa Arena,Tobias Stieler,/en/matches/3f2986cd/Mainz-05-Freiburg-December-3-2023-Bundesliga,,GER-BL1,23-24
13,Sun,2023-12-03,17:30,Leverkusen,2.1,1–1,0.7,Dortmund,30210,BayArena,Daniel Siebert,/en/matches/a235a3b6/Bayer-Leverkusen-Dortmund-December-3-2023-Bundesliga,,GER-BL1,23-24
13,Sun,2023-12-03,19:30,Augsburg,1.4,2–1,1.0,Eint Frankfurt,26107,WWK Arena,Harm Osmers,/en/matches/4bea1c30/Augsburg-Eintracht-Frankfurt-December-3-2023-Bundesliga,,GER-BL1,23-24
