id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,league,season
3ea50f67,48,Harvey Barnes,ENG,"FW,MF",Leicester City,24,1997,30.1,63,2.09,43,0,3,9,7,1,14,0.46,8,0,1,2,2,1,Matches,ENG-EPL,22-23
c91441dc,49,Gavin Bazunu,IRL,GK,Southampton,20,2002,32.0,7,0.22,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
30db8574,50,Mads Bech Sørensen,DEN,"DF,MF",Brentford,23,1999,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
4115ce4e,51,Jan Bednarek,POL,DF,Southampton,26,1996,18.6,7,0.38,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
4115ce4e,52,Jan Bednarek,POL,DF,Aston Villa,26,1996,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
50dc94ce,53,Donny van de Beek,NED,MF,Manchester Utd,25,1997,1.9,6,3.23,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
7b4de647,54,Asmir Begović,BIH,GK,Everton,35,1987,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
a39d11bc,55,Armel Bella Kotchap,GER,DF,Southampton,20,2001,20.9,14,0.67,7,0,1,3,2,1,2,0.1,1,0,0,1,0,0,Matches,ENG-EPL,22-23
5a04fd92,56,Saïd Benrahma,ALG,"FW,MF",West Ham,26,1995,23.0,92,4.0,68,2,11,8,3,0,5,0.22,4,0,1,0,0,0,Matches,ENG-EPL,22-23
3b8674e6,57,Rodrigo Bentancur,URU,MF,Tottenham,25,1997,16.7,34,2.04,27,0,1,2,1,3,5,0.3,2,0,0,1,0,2,Matches,ENG-EPL,22-23
68db6358,58,Daniel Bentley,ENG,GK,Wolves,29,1993,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
505486d6,59,Victor Bernth Kristiansen,DEN,DF,Leicester City,19,2002,9.9,14,1.41,9,4,0,1,0,0,3,0.3,3,0,0,0,0,0,Matches,ENG-EPL,22-23
87966294,60,Owen Bevan,WAL,DF,Bournemouth,18,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
de40e38c,61,Giulian Biancone,FRA,DF,Nott'ham Forest,22,2000,0.2,1,5.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
d328a254,62,Philip Billing,DEN,"MF,FW",Bournemouth,26,1996,30.7,54,1.76,41,2,5,5,1,0,6,0.2,4,0,0,2,0,0,Matches,ENG-EPL,22-23
6c203af0,63,Yves Bissouma,MLI,MF,Tottenham,25,1996,11.2,29,2.58,24,0,1,1,1,2,1,0.09,1,0,0,0,0,0,Matches,ENG-EPL,22-23
a4ac4b8f,64,Willy Boly,CIV,DF,Nott'ham Forest,31,1991,7.6,5,0.66,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches,ENG-EPL,22-23
ccce7025,65,Sven Botman,NED,DF,Newcastle Utd,22,2000,34.7,24,0.69,18,1,0,5,0,0,1,0.03,0,0,0,1,0,0,Matches,ENG-EPL,22-23
79c84d1c,66,Jarrod Bowen,ENG,"FW,MF",West Ham,25,1996,35.9,108,3.01,58,15,10,13,10,2,14,0.39,6,3,0,2,3,0,Matches,ENG-EPL,22-23
c07b7c5c,67,James Bree,ENG,DF,Southampton,24,1997,4.1,6,1.47,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
97220da2,68,Armando Broja,ALB,FW,Chelsea,20,2001,3.3,4,1.22,2,0,0,0,2,0,2,0.61,1,0,0,0,1,0,Matches,ENG-EPL,22-23
dc4cae05,69,David Brooks,WAL,"FW,MF",Bournemouth,25,1997,1.9,8,4.19,5,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
a2081c6b,70,Lewis Brunt,ENG,DF,Leicester City,21,2000,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
