Season,Competition Name,# Squads,Champion,Top Scorer,url,Format
1900-1901,ENG-EPL,18,Liverpool - 45,,/en/comps/9/1900-1901/1900-1901-Premier-League-Stats,round-robin
1899-1900,ENG-EPL,18,Aston Villa - 50,,/en/comps/9/1899-1900/1899-1900-Premier-League-Stats,round-robin
1898-1899,ENG-EPL,18,Aston Villa - 45,,/en/comps/9/1898-1899/1898-1899-Premier-League-Stats,round-robin
1897-1898,ENG-EPL,16,Sheffield United - 42,,/en/comps/9/1897-1898/1897-1898-Premier-League-Stats,round-robin
1896-1897,ENG-EPL,16,Aston Villa - 47,,/en/comps/9/1896-1897/1896-1897-Premier-League-Stats,round-robin
1895-1896,ENG-EPL,16,Aston Villa - 45,,/en/comps/9/1895-1896/1895-1896-Premier-League-Stats,round-robin
1894-1895,ENG-EPL,16,Sunderland - 47,,/en/comps/9/1894-1895/1894-1895-Premier-League-Stats,round-robin
1893-1894,ENG-EPL,16,Aston Villa - 44,,/en/comps/9/1893-1894/1893-1894-Premier-League-Stats,round-robin
1892-1893,ENG-EPL,16,Sunderland - 48,,/en/comps/9/1892-1893/1892-1893-Premier-League-Stats,round-robin
1891-1892,ENG-EPL,14,Sunderland - 42,,/en/comps/9/1891-1892/1891-1892-Premier-League-Stats,round-robin
1890-1891,ENG-EPL,12,Everton - 29,,/en/comps/9/1890-1891/1890-1891-Premier-League-Stats,round-robin
1889-1890,ENG-EPL,12,Preston North End - 33,,/en/comps/9/1889-1890/1889-1890-Premier-League-Stats,round-robin
1888-1889,ENG-EPL,12,Preston North End - 40,,/en/comps/9/1888-1889/1888-1889-Premier-League-Stats,round-robin
