id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,league,season
dc6f5bdd,94,Calum Chambers,ENG,DF,Arsenal,25,1995,8.4,466,593,78.6,7510,2180,238,275,86.5,195,240,81.3,29,61,47.5,2,1.1,0.9,0.9,11,29,12,6,40,Matches,ENG-EPL,20-21
d2424d1b,95,Ben Chilwell,ENG,DF,Chelsea,23,1996,25.4,1431,1839,77.8,21008,6743,823,900,91.4,448,592,75.7,92,199,46.2,5,2.4,2.6,2.6,30,90,26,10,111,Matches,ENG-EPL,20-21
7d2d3329,96,Hamza Choudhury,ENG,MF,Leicester City,22,1997,3.5,192,239,80.3,3094,528,94,113,83.2,78,93,83.9,11,18,61.1,0,0.0,0.0,0.0,0,7,0,0,15,Matches,ENG-EPL,20-21
1cb49278,97,Andreas Christensen,DEN,DF,Chelsea,24,1996,15.2,1046,1149,91.0,19614,6590,363,395,91.9,573,603,95.0,90,114,78.9,0,0.3,0.3,-0.3,6,50,2,0,43,Matches,ENG-EPL,20-21
b2f9c73e,98,Carney Chukwuemeka,ENG,"MF,FW",Aston Villa,16,2003,0.2,6,9,66.7,88,13,5,6,83.3,0,1,0.0,1,1,100.0,0,0.0,0.1,0.0,0,0,0,0,1,Matches,ENG-EPL,20-21
2b91cf8e,99,Ciaran Clark,IRL,DF,Newcastle Utd,30,1989,21.0,657,808,81.3,11712,4531,269,307,87.6,316,365,86.6,57,107,53.3,0,0.1,0.2,-0.1,2,36,3,0,35,Matches,ENG-EPL,20-21
0442183b,100,Nathaniel Clyne,ENG,DF,Crystal Palace,29,1991,12.7,448,593,75.5,6376,2615,272,302,90.1,142,191,74.3,19,54,35.2,1,0.2,0.3,0.8,4,24,13,5,42,Matches,ENG-EPL,20-21
2928dca2,101,Conor Coady,ENG,DF,Wolves,27,1993,36.7,1638,1865,87.8,37496,16459,390,414,94.2,892,933,95.6,343,486,70.6,0,0.2,0.2,-0.2,3,81,1,0,67,Matches,ENG-EPL,20-21
0420d84f,102,Séamus Coleman,IRL,"DF,MF",Everton,31,1988,17.9,620,765,81.0,9779,3467,350,385,90.9,205,254,80.7,48,84,57.1,3,1.8,1.6,1.2,19,32,14,3,49,Matches,ENG-EPL,20-21
27c01749,103,Aaron Connolly,IRL,FW,Brighton,20,2000,8.8,72,94,76.6,844,176,51,65,78.5,14,16,87.5,0,1,0.0,1,0.2,0.1,0.8,6,3,1,0,4,Matches,ENG-EPL,20-21
