Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-12-22,20:00:00,Premier League,Matchweek 18,Fri,Away,D,1,1,Aston Villa,0.6,0.9,23,41651,Jack Robinson,3-4-3,4-4-1-1,Anthony Taylor,/en/matches/37916998/Aston-Villa-Sheffield-United-December-22-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-12-26,15:00:00,Premier League,Matchweek 19,Tue,Home,L,2,3,Luton Town,2.4,0.6,51,31041,Anel Ahmedhodžić,4-4-2,3-4-3,Samuel Allison,/en/matches/6269b2e3/Sheffield-United-Luton-Town-December-26-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2023-12-30,15:00:00,Premier League,Matchweek 20,Sat,Away,L,0,2,Manchester City,0.3,2.2,20,53108,Jack Robinson,3-4-3,4-2-3-1,David Coote,/en/matches/aefd7405/Manchester-City-Sheffield-United-December-30-2023-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-01-06,15:00:00,FA Cup,Third round proper,Sat,Away,W,4,0,Gillingham,,,69,8809,Jack Robinson,4-5-1,5-3-2,Darren Bond,/en/matches/1ce477f8/Gillingham-Sheffield-United-January-6-2024-FA-Cup,,23-24,Sheffield Utd,1df6b87e
2024-01-21,14:00:00,Premier League,Matchweek 21,Sun,Home,D,2,2,West Ham,2.5,2.3,57,29164,Anel Ahmedhodžić,4-1-4-1,4-4-1-1,Michael Salisbury,/en/matches/abd525b4/Sheffield-United-West-Ham-United-January-21-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-01-27,15:00:00,FA Cup,Fourth round proper,Sat,Home,L,2,5,Brighton,,,31,18391,Anel Ahmedhodžić,4-4-2,3-4-3,Sunny Gill,/en/matches/f51c8adc/Sheffield-United-Brighton-and-Hove-Albion-January-27-2024-FA-Cup,,23-24,Sheffield Utd,1df6b87e
2024-01-30,20:00:00,Premier League,Matchweek 22,Tue,Away,L,2,3,Crystal Palace,0.8,1.1,47,24781,Anel Ahmedhodžić,4-1-4-1,4-3-3,Tony Harrington,/en/matches/9f51ce03/Crystal-Palace-Sheffield-United-January-30-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-02-03,17:30:00,Premier League,Matchweek 23,Sat,Home,L,0,5,Aston Villa,1.4,2.2,37,30187,Anel Ahmedhodžić,5-4-1,4-2-3-1,Paul Tierney,/en/matches/b3e195c5/Sheffield-United-Aston-Villa-February-3-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-02-10,15:00:00,Premier League,Matchweek 24,Sat,Away,W,3,1,Luton Town,1.7,1.8,26,11138,Anel Ahmedhodžić,5-4-1,3-4-3,Chris Kavanagh,/en/matches/1a4e7d02/Luton-Town-Sheffield-United-February-10-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-02-18,14:00:00,Premier League,Matchweek 25,Sun,Home,L,0,5,Brighton,0.6,2.9,21,29522,Anel Ahmedhodžić,3-5-1-1,4-2-3-1,Stuart Attwell,/en/matches/811fa03f/Sheffield-United-Brighton-and-Hove-Albion-February-18-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-02-25,13:30:00,Premier League,Matchweek 26,Sun,Away,L,0,1,Wolves,0.6,1.3,37,30789,Anel Ahmedhodžić,3-5-2,3-4-3,Darren Bond,/en/matches/ada09dda/Wolverhampton-Wanderers-Sheffield-United-February-25-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-03-04,20:00:00,Premier League,Matchweek 27,Mon,Home,L,0,6,Arsenal,0.2,2.3,20,29157,Anel Ahmedhodžić,4-5-1,4-3-3,Samuel Barrott,/en/matches/2eca8900/Sheffield-United-Arsenal-March-4-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-03-09,15:00:00,Premier League,Matchweek 28,Sat,Away,D,2,2,Bournemouth,1.2,3.3,31,11074,Jack Robinson,3-5-2,4-2-3-1,Anthony Taylor,/en/matches/81b6715a/Bournemouth-Sheffield-United-March-9-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-03-30,15:00:00,Premier League,Matchweek 30,Sat,Home,D,3,3,Fulham,1.9,1.3,27,30010,Jack Robinson,3-5-2,4-2-3-1,Tim Robinson,/en/matches/ad4a1302/Sheffield-United-Fulham-March-30-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-04-04,19:30:00,Premier League,Matchweek 31,Thu,Away,L,1,3,Liverpool,0.6,1.8,18,60055,Jack Robinson,3-5-2,4-3-3,Stuart Attwell,/en/matches/1f5973e2/Liverpool-Sheffield-United-April-4-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-04-07,17:30:00,Premier League,Matchweek 32,Sun,Home,D,2,2,Chelsea,1.4,0.3,32,28638,Jack Robinson,3-5-2,4-2-3-1,Robert Jones,/en/matches/d3850c26/Sheffield-United-Chelsea-April-7-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-04-13,15:00:00,Premier League,Matchweek 33,Sat,Away,L,0,2,Brentford,0.8,1.0,47,17115,Oliver McBurnie,3-5-2,4-3-3,Samuel Barrott,/en/matches/4a4d2976/Brentford-Sheffield-United-April-13-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-04-20,15:00:00,Premier League,Matchweek 34,Sat,Home,L,1,4,Burnley,2.4,2.2,49,28964,Oliver McBurnie,4-2-3-1,4-4-2,Andy Madley,/en/matches/ee8223ec/Sheffield-United-Burnley-April-20-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-04-24,20:00:00,Premier League,Matchweek 29,Wed,Away,L,2,4,Manchester Utd,0.8,2.9,29,73549,Oliver Arblaster,3-5-2,4-2-3-1,Michael Salisbury,/en/matches/70770e72/Manchester-United-Sheffield-United-April-24-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-04-27,15:00:00,Premier League,Matchweek 35,Sat,Away,L,1,5,Newcastle Utd,1.5,3.1,40,52196,Oliver Arblaster,3-5-2,4-3-3,Tony Harrington,/en/matches/e92d40be/Newcastle-United-Sheffield-United-April-27-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-05-04,15:00:00,Premier League,Matchweek 36,Sat,Home,L,1,3,Nott'ham Forest,2.2,1.5,54,28516,Jack Robinson,3-5-2,4-2-3-1,Chris Kavanagh,/en/matches/91a2da3b/Sheffield-United-Nottingham-Forest-May-4-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-05-11,15:00:00,Premier League,Matchweek 37,Sat,Away,L,0,1,Everton,0.6,2.3,42,39221,Jack Robinson,3-5-2,4-4-1-1,Stuart Attwell,/en/matches/482e6ce4/Everton-Sheffield-United-May-11-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
2024-05-19,16:00:00,Premier League,Matchweek 38,Sun,Home,L,0,3,Tottenham,1.0,3.1,25,29116,Jack Robinson,5-3-2,4-2-3-1,Andy Madley,/en/matches/273a89b4/Sheffield-United-Tottenham-Hotspur-May-19-2024-Premier-League,,23-24,Sheffield Utd,1df6b87e
