id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
bef0a7ac,59,Darío Benedetto,ARG,FW,Marseille,30,1990,2.9,62,2,3,31,28,4,62,1,1,100.0,0,0.0,33,161,45,1,1,0,6,2,50,18,Matches,UCL,20-21
fe888e39,60,László Bénes,SVK,MF,Gladbach,22,1997,0.2,6,0,1,4,1,0,6,0,0,,0,,3,23,19,1,0,0,0,0,5,0,Matches,UCL,20-21
378825c7,61,Ramy Bensebaini,ALG,DF,Gladbach,25,1995,5.0,305,27,147,117,41,6,304,7,4,57.1,3,42.9,122,488,258,5,0,0,2,3,165,12,Matches,UCL,20-21
3b8674e6,62,Rodrigo Bentancur,URU,MF,Juventus,23,1997,5.2,427,17,79,277,75,4,427,7,7,100.0,0,0.0,248,1078,460,4,5,1,10,7,305,6,Matches,UCL,20-21
70d74ece,63,Karim Benzema,FRA,FW,Real Madrid,32,1987,9.3,455,5,28,208,225,58,455,20,12,60.0,8,40.0,254,1455,633,26,13,12,22,11,375,63,Matches,UCL,20-21
b39bf63f,64,Marcus Berg,SWE,FW,Krasnodar,33,1986,5.7,190,4,11,109,70,24,189,10,4,40.0,6,60.0,118,472,178,6,4,5,13,5,143,36,Matches,UCL,20-21
eb6e14be,65,Mergim Berisha,GER,"MF,FW",RB Salzburg,22,1998,5.2,180,3,16,72,92,21,180,10,9,90.0,1,10.0,94,424,201,6,8,3,9,11,126,36,Matches,UCL,20-21
ee93c1a9,66,Federico Bernardeschi,ITA,"MF,FW",Juventus,26,1994,1.7,108,2,13,33,64,11,108,8,5,62.5,3,37.5,56,441,186,8,1,2,1,0,72,20,Matches,UCL,20-21
3cdfc63e,67,Miha Blažič,SVN,DF,Ferencváros,27,1993,6.0,515,53,278,229,11,4,515,0,0,,0,,356,1905,1292,6,4,0,2,1,372,0,Matches,UCL,20-21
691bef82,68,Daley Blind,NED,"DF,MF",Ajax,30,1990,4.6,372,36,187,169,23,1,372,5,4,80.0,1,20.0,222,1077,585,3,2,1,0,1,219,2,Matches,UCL,20-21
2db2fd7b,69,Jérôme Boateng,GER,DF,Bayern Munich,31,1988,5.8,480,38,191,279,12,2,480,2,1,50.0,1,50.0,303,1352,710,2,1,0,0,1,331,2,Matches,UCL,20-21
9c2b4382,70,Franck Boli,CIV,FW,Ferencváros,26,1993,0.9,36,0,5,11,20,7,36,5,2,40.0,3,60.0,22,86,33,1,0,1,4,6,24,5,Matches,UCL,20-21
c603ad6a,71,Boli Bolingoli-Mbombo,BEL,DF,Başakşehir,25,1995,4.1,267,18,85,111,72,3,267,5,2,40.0,3,60.0,140,686,395,9,4,1,5,2,135,15,Matches,UCL,20-21
7713c72a,72,Valerii Bondar,UKR,DF,Shakhtar,21,1999,6.0,410,69,258,149,3,1,410,1,1,100.0,0,0.0,213,736,332,3,0,0,3,0,296,1,Matches,UCL,20-21
52ec54d0,73,Leonardo Bonucci,ITA,DF,Juventus,33,1987,5.5,456,42,184,271,6,2,456,2,0,0.0,2,100.0,321,1514,902,3,0,1,0,0,367,1,Matches,UCL,20-21
2cb77ec6,74,Endre Botka,HUN,DF,Ferencváros,25,1994,2.9,176,11,68,73,36,1,176,0,0,,0,,117,388,205,3,5,0,6,3,120,11,Matches,UCL,20-21
1c07b06e,75,Andreas Bouchalakis,GRE,MF,Olympiacos,27,1993,4.6,297,9,63,197,39,4,297,4,2,50.0,2,50.0,150,660,263,2,3,0,4,2,198,2,Matches,UCL,20-21
f6798fc3,76,Yassine Bounou,MAR,GK,Sevilla,29,1991,5.0,154,136,153,1,0,0,154,0,0,,0,,75,366,151,0,0,0,0,0,80,0,Matches,UCL,20-21
20e73fac,77,Benjamin Bourigeaud,FRA,MF,Rennes,26,1994,4.1,293,10,49,158,88,8,293,4,1,25.0,3,75.0,139,559,217,1,3,1,1,2,192,11,Matches,UCL,20-21
1e064bfb,78,Denys Boyko,UKR,GK,Dynamo Kyiv,32,1988,1.0,39,38,39,0,0,0,39,0,0,,0,,29,84,54,0,0,0,0,0,24,0,Matches,UCL,20-21
fd771f95,79,Martin Braithwaite,DEN,FW,Barcelona,29,1991,2.6,70,1,1,18,52,20,69,2,2,100.0,0,0.0,36,214,92,4,2,3,4,5,55,13,Matches,UCL,20-21
a167537f,80,Julian Brandt,GER,MF,Dortmund,24,1996,2.4,208,5,29,100,79,10,208,9,8,88.9,1,11.1,132,845,298,6,11,1,6,4,177,16,Matches,UCL,20-21
4c184730,81,Brian Brobbey,NED,FW,Ajax,18,2002,0.5,18,0,0,8,10,3,18,1,1,100.0,0,0.0,9,40,10,0,1,0,1,0,15,8,Matches,UCL,20-21
