Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
3,Sat,2023-08-26,21:00,Paris S-G,1.5,3–1,0.5,Lens,47864,Parc des Princes,François Letexier,/en/matches/d3db871d/Paris-Saint-Germain-Lens-August-26-2023-Ligue-1,,FRA-L1,23-24
3,Sun,2023-08-27,13:00,Rennes,3.2,2–2,0.4,Le Havre,28311,Roazhon Park,Eric Wattellier,/en/matches/505ba995/Rennes-Le-Havre-August-27-2023-Ligue-1,,FRA-L1,23-24
3,Sun,2023-08-27,15:00,Strasbourg,3.4,2–0,0.3,Toulouse,25090,Stade de la Meinau,Benoît Bastien,/en/matches/0b508695/Strasbourg-Toulouse-August-27-2023-Ligue-1,,FRA-L1,23-24
3,Sun,2023-08-27,15:00,Clermont Foot,0.7,0–1,1.1,Metz,9146,Stade Gabriel Montpied,Gaël Angoula,/en/matches/344b05de/Clermont-Foot-Metz-August-27-2023-Ligue-1,,FRA-L1,23-24
3,Sun,2023-08-27,15:00,Montpellier,0.9,1–3,1.4,Reims,14476,Stade de la Mosson,Marc Bollengier,/en/matches/4d6e6c68/Montpellier-Reims-August-27-2023-Ligue-1,,FRA-L1,23-24
3,Sun,2023-08-27,17:05,Lorient,1.6,4–1,1.1,Lille,15101,Stade du Moustoir,Willy Delajod,/en/matches/eb2c366f/Lorient-Lille-August-27-2023-Ligue-1,,FRA-L1,23-24
3,Sun,2023-08-27,20:45,Nice,1.9,0–0,0.2,Lyon,28033,Stade de Nice,Bastien Dechepy,/en/matches/067a73e7/Nice-Lyon-August-27-2023-Ligue-1,,FRA-L1,23-24
4,Fri,2023-09-01,21:00,Nantes,0.9,1–1,2.6,Marseille,34600,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,/en/matches/6eca98c7/Nantes-Marseille-September-1-2023-Ligue-1,,FRA-L1,23-24
4,Sat,2023-09-02,17:00,Brest,1.4,0–0,0.3,Rennes,15021,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,/en/matches/38572486/Brest-Rennes-September-2-2023-Ligue-1,,FRA-L1,23-24
4,Sat,2023-09-02,21:00,Monaco,0.9,3–0,0.6,Lens,9600,Stade Louis II,Willy Delajod,/en/matches/7a2f8122/Monaco-Lens-September-2-2023-Ligue-1,,FRA-L1,23-24
4,Sun,2023-09-03,13:00,Toulouse,0.6,2–2,1.8,Clermont Foot,28285,Stadium Municipal,Florent Batta,/en/matches/12bf8242/Toulouse-Clermont-Foot-September-3-2023-Ligue-1,,FRA-L1,23-24
4,Sun,2023-09-03,15:00,Lille,1.2,1–0,0.3,Montpellier,35298,Decathlon Arena - Stade Pierre-Mauroy,Benoît Millot,/en/matches/26cacbb5/Lille-Montpellier-September-3-2023-Ligue-1,,FRA-L1,23-24
4,Sun,2023-09-03,15:00,Le Havre,2.0,3–0,0.7,Lorient,18707,Stade Océane,Romain Lissorgue,/en/matches/4519a333/Le-Havre-Lorient-September-3-2023-Ligue-1,,FRA-L1,23-24
4,Sun,2023-09-03,15:00,Metz,1.1,2–2,0.7,Reims,24272,Stade Saint-Symphorien,Mathieu Vernice,/en/matches/678bad42/Metz-Reims-September-3-2023-Ligue-1,,FRA-L1,23-24
4,Sun,2023-09-03,17:05,Nice,2.2,2–0,0.2,Strasbourg,20215,Stade de Nice,Jeremy Stinat,/en/matches/17e9722e/Nice-Strasbourg-September-3-2023-Ligue-1,,FRA-L1,23-24
4,Sun,2023-09-03,20:45,Lyon,2.1,1–4,4.5,Paris S-G,51657,Groupama Stadium,Eric Wattellier,/en/matches/cd3d8319/Lyon-Paris-Saint-Germain-September-3-2023-Ligue-1,,FRA-L1,23-24
5,Fri,2023-09-15,21:00,Paris S-G,1.0,2–3,1.3,Nice,47874,Parc des Princes,Clément Turpin,/en/matches/f0478368/Paris-Saint-Germain-Nice-September-15-2023-Ligue-1,,FRA-L1,23-24
5,Sat,2023-09-16,17:00,Rennes,0.5,2–2,1.0,Lille,28178,Roazhon Park,Jérôme Brisard,/en/matches/d419c313/Rennes-Lille-September-16-2023-Ligue-1,,FRA-L1,23-24
5,Sat,2023-09-16,21:00,Lens,2.0,0–1,0.3,Metz,37988,Stade Bollaert-Delelis,Stéphanie Frappart,/en/matches/40754c32/Lens-Metz-September-16-2023-Ligue-1,,FRA-L1,23-24
5,Sun,2023-09-17,13:00,Lorient,0.9,2–2,1.7,Monaco,15247,Stade du Moustoir,Marc Bollengier,/en/matches/2cbf9481/Lorient-Monaco-September-17-2023-Ligue-1,,FRA-L1,23-24
5,Sun,2023-09-17,15:00,Clermont Foot,1.3,0–1,0.6,Nantes,9775,Stade Gabriel Montpied,Thomas Léonard,/en/matches/6a2c2932/Clermont-Foot-Nantes-September-17-2023-Ligue-1,,FRA-L1,23-24
5,Sun,2023-09-17,15:00,Strasbourg,2.3,2–2,1.1,Montpellier,25128,Stade de la Meinau,Pierre Gaillouste,/en/matches/b04003c3/Strasbourg-Montpellier-September-17-2023-Ligue-1,,FRA-L1,23-24
5,Sun,2023-09-17,15:00,Reims,1.7,1–2,1.5,Brest,12948,Stade Auguste-Delaune,Gaël Angoula,/en/matches/f12c7a9a/Reims-Brest-September-17-2023-Ligue-1,,FRA-L1,23-24
5,Sun,2023-09-17,17:05,Marseille,1.5,0–0,0.7,Toulouse,63477,Orange Vélodrome,François Letexier,/en/matches/195b7636/Marseille-Toulouse-September-17-2023-Ligue-1,,FRA-L1,23-24
5,Sun,2023-09-17,20:45,Lyon,1.5,0–0,0.8,Le Havre,35507,Groupama Stadium,Benoît Bastien,/en/matches/18b82351/Lyon-Le-Havre-September-17-2023-Ligue-1,,FRA-L1,23-24
6,Fri,2023-09-22,21:00,Monaco,1.8,0–1,0.9,Nice,10075,Stade Louis II,Benoît Millot,/en/matches/74e4b97c/Monaco-Nice-September-22-2023-Ligue-1,,FRA-L1,23-24
6,Sat,2023-09-23,17:00,Nantes,2.1,5–3,1.7,Lorient,30704,Stade de la Beaujoire - Louis Fonteneau,Florent Batta,/en/matches/4f5c9313/Nantes-Lorient-September-23-2023-Ligue-1,,FRA-L1,23-24
6,Sat,2023-09-23,21:00,Brest,2.4,1–0,0.4,Lyon,14636,Stade Francis-Le Blé,Thomas Léonard,/en/matches/7ae5c7ed/Brest-Lyon-September-23-2023-Ligue-1,,FRA-L1,23-24
6,Sun,2023-09-24,13:00,Metz,1.1,0–1,0.4,Strasbourg,26661,Stade Saint-Symphorien,Clément Turpin,/en/matches/a5037d9e/Metz-Strasbourg-September-24-2023-Ligue-1,,FRA-L1,23-24
6,Sun,2023-09-24,15:00,Lens,2.5,2–1,0.4,Toulouse,37506,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,/en/matches/2e47fd82/Lens-Toulouse-September-24-2023-Ligue-1,,FRA-L1,23-24
6,Sun,2023-09-24,15:00,Le Havre,1.3,2–1,0.9,Clermont Foot,18500,Stade Océane,Mathieu Vernice,/en/matches/941106cf/Le-Havre-Clermont-Foot-September-24-2023-Ligue-1,,FRA-L1,23-24
6,Sun,2023-09-24,17:05,Montpellier,1.5,0–0,0.9,Rennes,15430,Stade de la Mosson,Stéphanie Frappart,/en/matches/fd6b554c/Montpellier-Rennes-September-24-2023-Ligue-1,,FRA-L1,23-24
6,Sun,2023-09-24,20:45,Paris S-G,1.9,4–0,0.7,Marseille,47000,Parc des Princes,Willy Delajod,/en/matches/405fa974/Paris-Saint-Germain-Marseille-September-24-2023-Ligue-1,,FRA-L1,23-24
6,Tue,2023-09-26,21:00,Lille,1.2,1–2,0.5,Reims,33075,Decathlon Arena - Stade Pierre-Mauroy,Jérémie Pignard,/en/matches/b1ae9dc3/Lille-Reims-September-26-2023-Ligue-1,,FRA-L1,23-24
7,Fri,2023-09-29,21:00,Strasbourg,0.3,0–1,0.8,Lens,26001,Stade de la Meinau,Jérôme Brisard,/en/matches/0730708e/Strasbourg-Lens-September-29-2023-Ligue-1,,FRA-L1,23-24
7,Sat,2023-09-30,17:00,Clermont Foot,1.0,0–0,3.0,Paris S-G,10757,Stade Gabriel Montpied,Marc Bollengier,/en/matches/f443185b/Clermont-Foot-Paris-Saint-Germain-September-30-2023-Ligue-1,,FRA-L1,23-24
7,Sat,2023-09-30,21:00,Monaco,1.0,3–2,1.0,Marseille,10200,Stade Louis II,Benoît Bastien,/en/matches/680c833b/Monaco-Marseille-September-30-2023-Ligue-1,,FRA-L1,23-24
7,Sun,2023-10-01,13:00,Reims,2.0,2–0,0.7,Lyon,16477,Stade Auguste-Delaune,François Letexier,/en/matches/cfb7f6ea/Reims-Lyon-October-1-2023-Ligue-1,,FRA-L1,23-24
7,Sun,2023-10-01,15:00,Nice,1.1,0–0,0.2,Brest,32044,Stade de Nice,Romain Lissorgue,/en/matches/49bbb3f4/Nice-Brest-October-1-2023-Ligue-1,,FRA-L1,23-24
7,Sun,2023-10-01,15:00,Toulouse,1.3,3–0,0.7,Metz,24770,Stadium Municipal,Gaël Angoula,/en/matches/9baac3cb/Toulouse-Metz-October-1-2023-Ligue-1,,FRA-L1,23-24
7,Sun,2023-10-01,15:00,Le Havre,0.8,0–2,1.2,Lille,21919,Stade Océane,Bastien Dechepy,/en/matches/f2fb61f7/Le-Havre-Lille-October-1-2023-Ligue-1,,FRA-L1,23-24
7,Sun,2023-10-01,17:05,Lorient,1.0,0–3,2.8,Montpellier,13492,Stade du Moustoir,Jeremy Stinat,/en/matches/fd60231d/Lorient-Montpellier-October-1-2023-Ligue-1,,FRA-L1,23-24
7,Sun,2023-10-01,20:45,Rennes,2.7,3–1,1.0,Nantes,27313,Roazhon Park,Ruddy Buquet,/en/matches/94204a39/Rennes-Nantes-October-1-2023-Ligue-1,,FRA-L1,23-24
8,Fri,2023-10-06,21:00,Strasbourg,0.7,1–2,1.9,Nantes,25274,Stade de la Meinau,Stéphanie Frappart,/en/matches/ac3cd65a/Strasbourg-Nantes-October-6-2023-Ligue-1,,FRA-L1,23-24
8,Sat,2023-10-07,17:00,Metz,0.4,0–1,1.4,Nice,23160,Stade Saint-Symphorien,Jérôme Brisard,/en/matches/a77842d5/Metz-Nice-October-7-2023-Ligue-1,,FRA-L1,23-24
8,Sat,2023-10-07,21:00,Reims,1.5,1–3,1.2,Monaco,19000,Stade Auguste-Delaune,Hakim Ben El Hadj Salem,/en/matches/8abe55a4/Reims-Monaco-October-7-2023-Ligue-1,,FRA-L1,23-24
8,Sun,2023-10-08,13:00,Marseille,2.8,3–0,0.2,Le Havre,63576,Orange Vélodrome,Thomas Léonard,/en/matches/4df09039/Marseille-Le-Havre-October-8-2023-Ligue-1,,FRA-L1,23-24
8,Sun,2023-10-08,15:00,Lyon,1.4,3–3,1.1,Lorient,43100,Groupama Stadium,Clément Turpin,/en/matches/43cc2649/Lyon-Lorient-October-8-2023-Ligue-1,,FRA-L1,23-24
8,Sun,2023-10-08,15:00,Brest,1.5,1–1,1.2,Toulouse,13549,Stade Francis-Le Blé,Pierre Gaillouste,/en/matches/f41980c3/Brest-Toulouse-October-8-2023-Ligue-1,,FRA-L1,23-24
8,Sun,2023-10-08,17:05,Lens,2.0,1–1,1.7,Lille,37223,Stade Bollaert-Delelis,Benoît Millot,/en/matches/b044385d/Lens-Lille-October-8-2023-Ligue-1,,FRA-L1,23-24
8,Sun,2023-10-08,20:45,Rennes,1.1,1–3,3.5,Paris S-G,27734,Roazhon Park,Benoît Bastien,/en/matches/484e237a/Rennes-Paris-Saint-Germain-October-8-2023-Ligue-1,,FRA-L1,23-24
9,Fri,2023-10-20,21:00,Le Havre,1.6,0–0,1.6,Lens,23590,Stade Océane,François Letexier,/en/matches/437ba0cb/Le-Havre-Lens-October-20-2023-Ligue-1,,FRA-L1,23-24
9,Sat,2023-10-21,17:00,Paris S-G,2.0,3–0,0.4,Strasbourg,41261,Parc des Princes,Bastien Dechepy,/en/matches/28f09198/Paris-Saint-Germain-Strasbourg-October-21-2023-Ligue-1,,FRA-L1,23-24
9,Sat,2023-10-21,21:00,Nice,0.6,1–0,1.1,Marseille,31423,Stade de Nice,Ruddy Buquet,/en/matches/494deaba/Nice-Marseille-October-21-2023-Ligue-1,,FRA-L1,23-24
9,Sun,2023-10-22,13:00,Lorient,0.6,2–1,0.9,Rennes,16711,Stade du Moustoir,Gaël Angoula,/en/matches/08e896d5/Lorient-Rennes-October-22-2023-Ligue-1,,FRA-L1,23-24
9,Sun,2023-10-22,15:00,Nantes,1.5,2–0,0.5,Montpellier,26864,Stade de la Beaujoire - Louis Fonteneau,Marc Bollengier,/en/matches/398e7ed6/Nantes-Montpellier-October-22-2023-Ligue-1,,FRA-L1,23-24
9,Sun,2023-10-22,15:00,Lille,1.6,1–0,0.8,Brest,34358,Decathlon Arena - Stade Pierre-Mauroy,Hakim Ben El Hadj Salem,/en/matches/de708e26/Lille-Brest-October-22-2023-Ligue-1,,FRA-L1,23-24
9,Sun,2023-10-22,15:00,Toulouse,0.8,1–1,1.3,Reims,23895,Stadium Municipal,Jeremy Stinat,/en/matches/f0a8c67d/Toulouse-Reims-October-22-2023-Ligue-1,,FRA-L1,23-24
9,Sun,2023-10-22,17:05,Monaco,2.0,2–1,1.0,Metz,6200,Stade Louis II,Romain Lissorgue,/en/matches/b33c484a/Monaco-Metz-October-22-2023-Ligue-1,,FRA-L1,23-24
9,Sun,2023-10-22,20:45,Lyon,1.7,1–2,1.0,Clermont Foot,43000,Groupama Stadium,Willy Delajod,/en/matches/847c54fa/Lyon-Clermont-Foot-October-22-2023-Ligue-1,,FRA-L1,23-24
10,Fri,2023-10-27,21:00,Clermont Foot,0.5,0–1,2.2,Nice,10800,Stade Gabriel Montpied,Jérémie Pignard,/en/matches/1c297781/Clermont-Foot-Nice-October-27-2023-Ligue-1,,FRA-L1,23-24
10,Sat,2023-10-28,17:00,Reims,0.8,1–0,0.4,Lorient,14033,Stade Auguste-Delaune,Benoît Bastien,/en/matches/5c8bc6ef/Reims-Lorient-October-28-2023-Ligue-1,,FRA-L1,23-24
10,Sat,2023-10-28,21:00,Lens,3.7,4–0,1.0,Nantes,38223,Stade Bollaert-Delelis,Pierre Gaillouste,/en/matches/271f272f/Lens-Nantes-October-28-2023-Ligue-1,,FRA-L1,23-24
10,Sun,2023-10-29,13:00,Brest,1.8,2–3,2.1,Paris S-G,15183,Stade Francis-Le Blé,Jérôme Brisard,/en/matches/3fc4e3ce/Brest-Paris-Saint-Germain-October-29-2023-Ligue-1,,FRA-L1,23-24
10,Sun,2023-10-29,15:00,Metz,0.5,0–0,0.7,Le Havre,20718,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,/en/matches/6d743853/Metz-Le-Havre-October-29-2023-Ligue-1,,FRA-L1,23-24
10,Sun,2023-10-29,15:00,Montpellier,3.0,3–0,1.2,Toulouse,13209,Stade de la Mosson,Thomas Léonard,/en/matches/c7788081/Montpellier-Toulouse-October-29-2023-Ligue-1,,FRA-L1,23-24
10,Sun,2023-10-29,15:00,Lille,0.5,2–0,0.6,Monaco,40046,Decathlon Arena - Stade Pierre-Mauroy,Clément Turpin,/en/matches/e4ed3318/Lille-Monaco-October-29-2023-Ligue-1,,FRA-L1,23-24
10,Sun,2023-10-29,17:05,Rennes,1.1,1–1,1.0,Strasbourg,28100,Roazhon Park,Florent Batta,/en/matches/b35db4c8/Rennes-Strasbourg-October-29-2023-Ligue-1,,FRA-L1,23-24
11,Fri,2023-11-03,21:00,Paris S-G,1.1,3–0,0.5,Montpellier,47647,Parc des Princes,Ruddy Buquet,/en/matches/4f44d7fc/Paris-Saint-Germain-Montpellier-November-3-2023-Ligue-1,,FRA-L1,23-24
11,Sat,2023-11-04,17:00,Lorient,0.5,0–0,0.6,Lens,16599,Stade du Moustoir,Bastien Dechepy,/en/matches/001326cc/Lorient-Lens-November-4-2023-Ligue-1,,FRA-L1,23-24
11,Sat,2023-11-04,21:00,Marseille,0.8,0–0,0.3,Lille,63674,Orange Vélodrome,Stéphanie Frappart,/en/matches/d8243ab9/Marseille-Lille-November-4-2023-Ligue-1,,FRA-L1,23-24
11,Sun,2023-11-05,13:00,Lyon,1.9,1–1,0.7,Metz,42040,Groupama Stadium,Benoît Millot,/en/matches/eadb1375/Lyon-Metz-November-5-2023-Ligue-1,,FRA-L1,23-24
11,Sun,2023-11-05,15:00,Strasbourg,1.0,0–0,0.9,Clermont Foot,25039,Stade de la Meinau,Jeremy Stinat,/en/matches/957c6924/Strasbourg-Clermont-Foot-November-5-2023-Ligue-1,,FRA-L1,23-24
11,Sun,2023-11-05,15:00,Nantes,1.8,0–1,1.1,Reims,33621,Stade de la Beaujoire - Louis Fonteneau,Gaël Angoula,/en/matches/96b3374a/Nantes-Reims-November-5-2023-Ligue-1,,FRA-L1,23-24
11,Sun,2023-11-05,15:00,Toulouse,2.6,1–2,1.1,Le Havre,23060,Stadium Municipal,Marc Bollengier,/en/matches/f7d3c634/Toulouse-Le-Havre-November-5-2023-Ligue-1,,FRA-L1,23-24
11,Sun,2023-11-05,17:05,Monaco,0.8,2–0,0.8,Brest,9244,Stade Louis II,Eric Wattellier,/en/matches/ef59a003/Monaco-Brest-November-5-2023-Ligue-1,,FRA-L1,23-24
11,Sun,2023-11-05,20:45,Nice,1.6,2–0,0.8,Rennes,22430,Stade de Nice,Clément Turpin,/en/matches/fad89d7b/Nice-Rennes-November-5-2023-Ligue-1,,FRA-L1,23-24
12,Fri,2023-11-10,21:00,Montpellier,0.5,0–0,0.7,Nice,13452,Stade de la Mosson,Hakim Ben El Hadj Salem,/en/matches/5bdc7c32/Montpellier-Nice-November-10-2023-Ligue-1,,FRA-L1,23-24
12,Sat,2023-11-11,17:00,Reims,1.3,0–3,2.3,Paris S-G,20500,Stade Auguste-Delaune,Willy Delajod,/en/matches/61d9e0d0/Reims-Paris-Saint-Germain-November-11-2023-Ligue-1,,FRA-L1,23-24
12,Sat,2023-11-11,21:00,Le Havre,1.4,0–0,0.6,Monaco,23008,Stade Océane,Thomas Léonard,/en/matches/8bb49483/Le-Havre-Monaco-November-11-2023-Ligue-1,,FRA-L1,23-24
12,Sun,2023-11-12,15:00,Metz,1.1,3–1,1.3,Nantes,21674,Stade Saint-Symphorien,Florent Batta,/en/matches/594dba4e/Metz-Nantes-November-12-2023-Ligue-1,,FRA-L1,23-24
12,Sun,2023-11-12,15:00,Clermont Foot,1.5,1–0,0.5,Lorient,9798,Stade Gabriel Montpied,Romain Lissorgue,/en/matches/e0aea3a9/Clermont-Foot-Lorient-November-12-2023-Ligue-1,,FRA-L1,23-24
12,Sun,2023-11-12,15:00,Lille,2.5,1–1,0.1,Toulouse,34959,Decathlon Arena - Stade Pierre-Mauroy,Mathieu Vernice,/en/matches/f0f7d5b7/Lille-Toulouse-November-12-2023-Ligue-1,,FRA-L1,23-24
12,Sun,2023-11-12,17:05,Rennes,0.9,0–1,1.5,Lyon,28441,Roazhon Park,Stéphanie Frappart,/en/matches/16251ab0/Rennes-Lyon-November-12-2023-Ligue-1,,FRA-L1,23-24
12,Sun,2023-11-12,20:45,Lens,1.1,1–0,1.0,Marseille,38223,Stade Bollaert-Delelis,Benoît Bastien,/en/matches/fe8096da/Lens-Marseille-November-12-2023-Ligue-1,,FRA-L1,23-24
13,Fri,2023-11-24,21:00,Paris S-G,2.6,5–2,1.6,Monaco,47896,Parc des Princes,Benoît Bastien,/en/matches/6f11a93d/Paris-Saint-Germain-Monaco-November-24-2023-Ligue-1,,FRA-L1,23-24
13,Sat,2023-11-25,17:00,Clermont Foot,1.9,0–3,2.2,Lens,10455,Stade Gabriel Montpied,Benoît Millot,/en/matches/4cf8ae40/Clermont-Foot-Lens-November-25-2023-Ligue-1,,FRA-L1,23-24
13,Sat,2023-11-25,21:00,Strasbourg,1.1,1–1,1.4,Marseille,25443,Stade de la Meinau,Jérôme Brisard,/en/matches/3d1a3c81/Strasbourg-Marseille-November-25-2023-Ligue-1,,FRA-L1,23-24
13,Sun,2023-11-26,13:00,Nice,1.0,1–0,1.3,Toulouse,21849,Stade de Nice,François Letexier,/en/matches/69ee1012/Nice-Toulouse-November-26-2023-Ligue-1,,FRA-L1,23-24
13,Sun,2023-11-26,15:00,Lorient,1.2,2–3,1.9,Metz,14469,Stade du Moustoir,Jérémie Pignard,/en/matches/685f0592/Lorient-Metz-November-26-2023-Ligue-1,,FRA-L1,23-24
13,Sun,2023-11-26,15:00,Montpellier,1.7,1–3,1.7,Brest,12311,Stade de la Mosson,Pierre Gaillouste,/en/matches/e4cca984/Montpellier-Brest-November-26-2023-Ligue-1,,FRA-L1,23-24
13,Sun,2023-11-26,15:00,Nantes,1.3,0–0,0.2,Le Havre,29346,Stade de la Beaujoire - Louis Fonteneau,Miguel Nogueira,/en/matches/ec8cdc57/Nantes-Le-Havre-November-26-2023-Ligue-1,,FRA-L1,23-24
13,Sun,2023-11-26,17:05,Rennes,1.8,3–1,1.6,Reims,27718,Roazhon Park,Ruddy Buquet,/en/matches/068718ca/Rennes-Reims-November-26-2023-Ligue-1,,FRA-L1,23-24
13,Sun,2023-11-26,20:45,Lyon,1.9,0–2,1.5,Lille,40029,Groupama Stadium,Eric Wattellier,/en/matches/3835384c/Lyon-Lille-November-26-2023-Ligue-1,,FRA-L1,23-24
8,Wed,2023-11-29,19:00,Montpellier,2.4,1–1,0.4,Clermont Foot,,Stade de la Mosson,Mathieu Vernice,/en/matches/341877cf/Montpellier-Clermont-Foot-November-29-2023-Ligue-1,,FRA-L1,23-24
14,Fri,2023-12-01,21:00,Reims,1.3,2–1,1.7,Strasbourg,14500,Stade Auguste-Delaune,Hakim Ben El Hadj Salem,/en/matches/ad372452/Reims-Strasbourg-December-1-2023-Ligue-1,,FRA-L1,23-24
14,Sat,2023-12-02,17:00,Lens,2.1,3–2,2.5,Lyon,38130,Stade Bollaert-Delelis,Clément Turpin,/en/matches/66f5f256/Lens-Lyon-December-2-2023-Ligue-1,,FRA-L1,23-24
14,Sat,2023-12-02,21:00,Nantes,1.4,1–0,1.3,Nice,26560,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,/en/matches/b0ae3622/Nantes-Nice-December-2-2023-Ligue-1,,FRA-L1,23-24
14,Sun,2023-12-03,13:00,Le Havre,2.0,0–2,1.2,Paris S-G,23718,Stade Océane,Bastien Dechepy,/en/matches/b6e6fdfe/Le-Havre-Paris-Saint-Germain-December-3-2023-Ligue-1,,FRA-L1,23-24
14,Sun,2023-12-03,15:00,Monaco,2.2,2–0,0.9,Montpellier,4599,Stade Louis II,Jeremy Stinat,/en/matches/0d5e1575/Monaco-Montpellier-December-3-2023-Ligue-1,,FRA-L1,23-24
14,Sun,2023-12-03,15:00,Toulouse,1.0,1–1,0.8,Lorient,22799,Stadium Municipal,Thomas Léonard,/en/matches/50bf0584/Toulouse-Lorient-December-3-2023-Ligue-1,,FRA-L1,23-24
14,Sun,2023-12-03,15:00,Brest,1.4,3–0,0.8,Clermont Foot,14324,Stade Francis-Le Blé,Marc Bollengier,/en/matches/9f17a676/Brest-Clermont-Foot-December-3-2023-Ligue-1,,FRA-L1,23-24
