id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
3b0108d6,36,Jon McLaughlin,SCO,GK,Rangers,33,1987,1.0,1,0,0,0,1,0.3,0.09,0.3,0.27,5,7,71.4,55,6,12.7,24.5,5,0.0,23.4,14,1,7.1,0,0.0,7.7,Matches,UEL,21-22
9413b19f,37,Alex Meret,ITA,GK,Napoli,24,1997,7.0,13,2,0,2,0,9.5,0.31,-3.5,-0.51,13,34,38.2,140,25,12.9,23.9,62,25.8,27.5,78,0,0.0,7,1.0,17.2,Matches,UEL,21-22
d0d98611,38,Thomas Mikkelsen,DEN,GK,Brøndby,37,1983,1.0,2,0,0,1,0,2.5,0.33,0.5,0.53,3,7,42.9,26,8,26.9,29.4,5,0.0,22.8,11,1,9.1,0,0.0,15.0,Matches,UEL,21-22
b9139383,39,Cezary Miszta,POL,GK,Legia Warsaw,19,2001,4.0,10,2,0,1,0,9.2,0.26,-0.8,-0.2,12,66,18.2,86,24,50.0,38.4,39,59.0,41.0,71,1,1.4,1,0.25,10.1,Matches,UEL,21-22
a2abe631,40,Fernando Muslera,URU,GK,Galatasaray,35,1986,6.0,3,0,0,0,0,6.1,0.24,3.1,0.52,42,110,38.2,214,19,37.4,34.3,51,58.8,47.0,84,3,3.6,7,1.17,15.4,Matches,UEL,21-22
a111cf41,41,Juan Musso,ARG,GK,Atalanta,27,1994,6.0,6,1,0,0,1,7.4,0.3,2.4,0.4,28,65,43.1,106,19,43.4,36.9,32,59.4,47.8,52,3,5.8,4,0.67,15.1,Matches,UEL,21-22
a9a3b55d,42,Florin Niță,ROU,GK,Sparta Prague,34,1987,4.0,7,0,0,0,0,7.5,0.4,0.5,0.13,34,76,44.7,126,18,49.2,38.3,20,70.0,50.9,46,2,4.3,6,1.5,14.2,Matches,UEL,21-22
afb0c500,43,Alexander Nübel,GER,GK,Monaco,24,1996,7.0,6,0,0,1,0,5.7,0.27,-0.3,-0.05,28,122,23.0,244,33,34.0,34.2,72,54.2,43.7,72,2,2.8,9,1.29,18.7,Matches,UEL,21-22
118b60ce,44,Daniil Odoevski,RUS,GK,Zenit,18,2003,1.0,0,0,0,0,0,0.0,,0.0,0.0,0,6,0.0,16,2,31.3,35.6,9,11.1,25.6,12,0,0.0,0,0.0,8.0,Matches,UEL,21-22
82b1198a,45,David Ospina,COL,GK,Napoli,32,1988,1.0,2,0,0,0,0,1.7,0.35,-0.3,-0.25,1,4,25.0,26,2,15.4,23.6,3,0.0,21.0,7,0,0.0,3,3.0,22.8,Matches,UEL,21-22
