id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,league,season
2973d8ff,55,Michy Batshuayi,BEL,FW,Chelsea,25,1993,4,0,88,1.0,1,0,1,1,0,0,0,0,1.7,1.7,0.1,1.8,1,1,10,1.02,0.0,1.02,1.02,1.02,1.77,0.11,1.88,1.77,1.88,Matches,UCL,19-20
69374ff5,56,Julian Baumgartlinger,AUT,MF,Leverkusen,31,1988,6,3,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,24,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,UCL,19-20
7bcc0708,57,Ömer Bayram,TUR,"FW,MF",Galatasaray,28,1991,5,2,252,2.8,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,9,6,17,0.0,0.36,0.36,0.0,0.36,0.08,0.31,0.39,0.08,0.39,Matches,UCL,19-20
50dc94ce,58,Donny van de Beek,NED,MF,Ajax,22,1997,5,5,447,5.0,2,1,3,2,0,0,1,0,1.3,1.3,1.2,2.5,2,13,22,0.4,0.2,0.6,0.4,0.6,0.26,0.25,0.51,0.26,0.51,Matches,UCL,19-20
e204ec12,59,Younès Belhanda,MAR,"MF,FW",Galatasaray,29,1990,4,4,303,3.4,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,4,7,18,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,UCL,19-20
bee0bab1,60,Karim Bellarabi,GER,"FW,MF",Leverkusen,29,1990,5,5,411,4.6,0,1,1,0,0,0,2,0,0.4,0.4,1.7,2.1,25,18,62,0.0,0.22,0.22,0.0,0.22,0.09,0.37,0.45,0.09,0.45,Matches,UCL,19-20
c50281a0,61,Lars Bender,GER,DF,Leverkusen,30,1989,4,3,271,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,10,15,18,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,UCL,19-20
070ec0b1,62,Sven Bender,GER,DF,Leverkusen,30,1989,6,6,539,6.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,2,14,2,0.17,0.0,0.17,0.17,0.17,0.03,0.0,0.03,0.03,0.03,Matches,UCL,19-20
3b8674e6,63,Rodrigo Bentancur,URU,MF,Juventus,22,1997,7,4,421,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,6,26,28,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07,Matches,UCL,19-20
70d74ece,64,Karim Benzema,FRA,FW,Real Madrid,31,1987,8,7,644,7.2,5,2,7,5,0,0,0,0,6.5,6.5,2.8,9.3,27,35,65,0.7,0.28,0.98,0.7,0.98,0.91,0.39,1.3,0.91,1.3,Matches,UCL,19-20
6fbde63a,65,Yassine Benzia,ALG,MF,Olympiacos,24,1994,3,1,79,0.9,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.1,0,6,6,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.12,0.06,0.12,Matches,UCL,19-20
d0b6129f,66,Sander Berge,NOR,MF,Genk,21,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,5,28,6,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,UCL,19-20
a29b1131,67,Steven Bergwijn,NED,"MF,FW",Tottenham,21,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,1,5,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34,Matches,UCL,19-20
ee93c1a9,68,Federico Bernardeschi,ITA,MF,Juventus,25,1994,6,3,263,2.9,1,1,2,1,0,0,0,0,0.8,0.8,0.4,1.2,9,8,18,0.34,0.34,0.68,0.34,0.68,0.27,0.13,0.4,0.27,0.4,Matches,UCL,19-20
433dc9a2,69,Juan Bernat,ESP,DF,Paris S-G,26,1993,10,10,873,9.7,2,2,4,2,0,0,3,0,0.8,0.8,2.1,2.9,11,29,47,0.21,0.21,0.41,0.21,0.41,0.08,0.22,0.3,0.08,0.3,Matches,UCL,19-20
07a821e4,70,Antoine Bernede,FRA,MF,RB Salzburg,20,1999,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,UCL,19-20
9e1577aa,71,Cristiano Biraghi,ITA,"DF,FW",Inter,26,1992,4,3,219,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,4,1,8,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,UCL,19-20
691bef82,72,Daley Blind,NED,DF,Ajax,29,1990,5,5,427,4.7,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,7,21,0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,UCL,19-20
27f0fcda,73,Richmond Boakye,GHA,FW,Red Star,26,1993,5,1,190,2.1,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,0,4,13,0.47,0.0,0.47,0.47,0.47,0.15,0.1,0.25,0.15,0.25,Matches,UCL,19-20
2db2fd7b,74,Jérôme Boateng,GER,DF,Bayern Munich,30,1988,9,8,579,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
24b98f95,75,Serhiy Bolbat,UKR,DF,Shakhtar,26,1993,3,3,244,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,3,8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,UCL,19-20
0da6a13e,76,Theo Bongonda,COD,"MF,FW",Genk,23,1995,6,2,258,2.9,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.8,16,9,15,0.0,0.35,0.35,0.0,0.35,0.18,0.11,0.29,0.18,0.29,Matches,UCL,19-20
52ec54d0,77,Leonardo Bonucci,ITA,DF,Juventus,32,1987,7,7,630,7.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,3,48,0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,Matches,UCL,19-20
9f936061,78,Neto Borges,BRA,DF,Genk,22,1996,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
2b3efa4a,79,Jan Bořil,CZE,DF,Slavia Prague,28,1991,6,6,540,6.0,1,0,1,1,0,0,2,0,0.3,0.3,0.6,0.9,12,34,22,0.17,0.0,0.17,0.17,0.17,0.04,0.1,0.14,0.04,0.14,Matches,UCL,19-20
5e8936be,80,Milan Borjan,CAN,GK,Red Star,31,1987,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,UCL,19-20
1c07b06e,81,Andreas Bouchalakis,GRE,MF,Olympiacos,26,1993,6,6,481,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,3,30,7,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14,Matches,UCL,19-20
