id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,league,season
f47a530a,48,Willian Arão,BRA,MF,Fenerbahçe,29,1992,3.5,147,143,4,3,1,2,0,0,0,0,0,0,126,0,0,Matches,UEL,22-23
2bef2bca,49,Ronald Araújo,URU,DF,Barcelona,23,1999,1.9,86,77,9,2,0,4,1,7,0,0,0,0,69,0,0,Matches,UEL,22-23
184ad240,50,Arthur,BRA,"DF,MF",Sporting CP,24,1998,2.0,98,90,8,0,0,0,8,7,1,1,0,0,77,0,0,Matches,UEL,22-23
31b7d437,51,Emam Ashour,EGY,"FW,MF",Midtjylland,24,1998,0.8,24,21,3,1,1,0,0,1,1,0,0,0,15,0,0,Matches,UEL,22-23
b026bbf6,52,Lorenz Assignon,TOG,DF,Rennes,22,2000,3.3,158,129,29,1,0,0,7,28,0,0,0,0,119,0,3,Matches,UEL,22-23
8f5bfaac,53,Iyayi Atiemwen,NGA,FW,Sheriff Tiraspol,26,1996,3.6,95,86,9,3,0,0,3,0,2,1,1,0,77,0,0,Matches,UEL,22-23
dbd1b101,54,Noah Atubolu,GER,GK,Freiburg,20,2002,1.0,44,28,16,6,0,0,0,0,0,0,0,0,25,0,0,Matches,UEL,22-23
e65a7469,55,Donis Avdijaj,KVX,"MF,FW",Zürich,25,1996,0.9,24,23,1,0,0,0,0,1,0,0,0,0,19,0,1,Matches,UEL,22-23
dd95af65,56,Irakli Azarov,GEO,DF,Red Star,20,2002,0.1,6,4,2,0,0,0,0,2,0,0,0,0,5,0,0,Matches,UEL,22-23
8e34b9f5,57,Serdar Aziz,TUR,DF,Fenerbahçe,31,1990,5.0,323,306,16,15,0,1,3,1,0,0,0,0,272,1,3,Matches,UEL,22-23
10549b49,58,Sardar Azmoun,IRN,FW,Leverkusen,27,1995,3.0,60,58,1,0,1,0,0,1,0,0,0,0,43,1,2,Matches,UEL,22-23
85f476cc,59,Oussama El Azzouzi,MAR,MF,Union SG,21,2001,1.6,81,80,1,1,0,0,0,0,0,0,0,0,71,0,0,Matches,UEL,22-23
60c07b31,60,Ousseynou Ba,SEN,DF,Olympiacos,26,1995,2.0,112,109,3,2,0,2,0,0,0,0,0,0,102,0,0,Matches,UEL,22-23
75229233,61,Fouad Bachirou,COM,MF,AC Omonia,32,1990,1.0,23,21,2,2,0,0,0,0,0,0,0,0,14,0,0,Matches,UEL,22-23
114bbdee,62,Loïc Bade,FRA,DF,Sevilla,22,2000,5.8,214,208,6,3,0,2,0,1,0,0,0,0,178,0,1,Matches,UEL,22-23
3b216df2,63,Nikolai Baden Frederiksen,DEN,FW,Ferencváros,22,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,UEL,22-23
06df8256,64,Benoît Badiashile,FRA,DF,Monaco,21,2001,5.0,291,282,9,9,0,4,1,0,0,0,0,0,246,0,0,Matches,UEL,22-23
d7abc42e,65,Cédric Badolo,BFA,"MF,FW",Sheriff Tiraspol,23,1998,6.0,193,178,15,4,0,2,12,5,6,2,3,0,151,0,0,Matches,UEL,22-23
dead55e5,66,Anastasios Bakasetas,GRE,MF,Trabzonspor,29,1993,5.1,370,337,32,9,0,4,34,3,18,12,5,0,309,1,5,Matches,UEL,22-23
