Season,Competition Name,# Squads,Champion,Top Scorer,url,Format
2001-2002,ITA-SERIA_A,18,Juventus - 71,"Dario Hübner, David Trezeguet - 24",/en/comps/11/2001-2002/2001-2002-Serie-A-Stats,round-robin
2000-2001,ITA-SERIA_A,18,Roma - 75,Hernán Crespo - 26,/en/comps/11/2000-2001/2000-2001-Serie-A-Stats,round-robin
1999-2000,ITA-SERIA_A,18,Lazio - 72,Andriy Shevchenko - 24,/en/comps/11/1999-2000/1999-2000-Serie-A-Stats,round-robin
1998-1999,ITA-SERIA_A,18,Milan - 70,Márcio Amoroso - 22,/en/comps/11/1998-1999/1998-1999-Serie-A-Stats,round-robin
1997-1998,ITA-SERIA_A,18,Juventus - 74,Oliver Bierhoff - 27,/en/comps/11/1997-1998/1997-1998-Serie-A-Stats,round-robin
1996-1997,ITA-SERIA_A,18,Juventus - 65,Filippo Inzaghi - 24,/en/comps/11/1996-1997/1996-1997-Serie-A-Stats,round-robin
1995-1996,ITA-SERIA_A,18,Milan - 73,"Igor Protti, Giuseppe Signori - 24",/en/comps/11/1995-1996/1995-1996-Serie-A-Stats,round-robin
1994-1995,ITA-SERIA_A,18,Juventus - 73,Gabriel Batistuta - 26,/en/comps/11/1994-1995/1994-1995-Serie-A-Stats,round-robin
1993-1994,ITA-SERIA_A,18,Milan - 50,Giuseppe Signori - 23,/en/comps/11/1993-1994/1993-1994-Serie-A-Stats,round-robin
1992-1993,ITA-SERIA_A,18,Milan - 50,Giuseppe Signori - 26,/en/comps/11/1992-1993/1992-1993-Serie-A-Stats,round-robin
1991-1992,ITA-SERIA_A,18,Milan - 56,Marco van Basten - 25,/en/comps/11/1991-1992/1991-1992-Serie-A-Stats,round-robin
1990-1991,ITA-SERIA_A,18,Sampdoria - 51,Gianluca Vialli - 19,/en/comps/11/1990-1991/1990-1991-Serie-A-Stats,round-robin
1989-1990,ITA-SERIA_A,18,Napoli - 51,Marco van Basten - 19,/en/comps/11/1989-1990/1989-1990-Serie-A-Stats,round-robin
1988-1989,ITA-SERIA_A,18,Internazionale - 58,Aldo Serena - 22,/en/comps/11/1988-1989/1988-1989-Serie-A-Stats,round-robin
